,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,1
1,1,2008-02-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,2
2,2,2008-03-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,3
3,3,2008-04-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,4
4,4,2008-05-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,5
5,5,2008-06-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,6
6,6,2008-07-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,7
7,7,2008-08-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,8
8,8,2008-09-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,9
9,9,2008-10-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,10
10,10,2008-11-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,11
11,11,2008-12-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2008,12
12,12,2009-01-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,1
13,13,2009-02-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,2
14,14,2009-03-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,3
15,15,2009-04-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,4
16,16,2009-05-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,5
17,17,2009-06-01,Madhya Pradesh,Chhatarpur,Maize,10.442857142857145,1036.0,1100.5714285714287,1063.5714285714287,2009,6
